"","ara_id","sample_id","collection_date","flow","loq","pathogen","conc","total_pop","ara_name","load","median_7d"
"187",66700,"25_2025_03_28",2025-03-28,18307,32880,"RSV-A",0,74363,"Laupen",0,381877.735379154
"188",66700,"25_2025_03_28",2025-03-28,18307,32880,"RSV-B",1480.4321,74363,"Laupen",364459.07850275,333762.036012533
"189",66700,"25_2025_04_03",2025-04-03,17940,32880,"RSV-A",1582.9194,74363,"Laupen",381877.735379154,0
"190",66700,"25_2025_04_03",2025-04-03,17940,32880,"RSV-B",0,74363,"Laupen",0,333762.036012533
"191",66700,"25_2025_04_05",2025-04-05,17641,32880,"RSV-A",6069.166,74363,"Laupen",1439777.27372484,0
"192",66700,"25_2025_04_05",2025-04-05,17641,32880,"RSV-B",1406.924,74363,"Laupen",333762.036012533,0
"193",66700,"25_2025_04_07",2025-04-07,17616,32880,"RSV-A",0,74363,"Laupen",0,0
"194",66700,"25_2025_04_07",2025-04-07,17616,32880,"RSV-B",0,74363,"Laupen",0,333762.036012533
"195",66700,"25_2025_04_13",2025-04-13,28016,32880,"RSV-A",0,74363,"Laupen",0,0
"196",66700,"25_2025_04_13",2025-04-13,28016,32880,"RSV-B",1633.3739,74363,"Laupen",615367.90046663,0
"197",66700,"25_2025_04_15",2025-04-15,27549,32880,"RSV-A",0,74363,"Laupen",0,0
"198",66700,"25_2025_04_15",2025-04-15,27549,32880,"RSV-B",0,74363,"Laupen",0,0
"199",66700,"25_2025_04_18",2025-04-18,19183,32880,"RSV-A",1345.7377,74363,"Laupen",347152.297501446,0
"200",66700,"25_2025_04_18",2025-04-18,19183,32880,"RSV-B",1345.7377,74363,"Laupen",347152.297501446,0
"201",66700,"25_2025_04_23",2025-04-23,21160,32880,"RSV-A",0,74363,"Laupen",0,0
"202",66700,"25_2025_04_23",2025-04-23,21160,32880,"RSV-B",0,74363,"Laupen",0,0
"203",66700,"25_2025_04_26",2025-04-26,17356,32880,"RSV-A",3368.3503,74363,"Laupen",786158.275040006,NA
"204",66700,"25_2025_04_26",2025-04-26,17356,32880,"RSV-B",0,74363,"Laupen",0,NA
"205",66700,"25_2025_05_01",2025-05-01,17576,32880,"RSV-A",0,74363,"Laupen",0,NA
"206",66700,"25_2025_05_01",2025-05-01,17576,32880,"RSV-B",0,74363,"Laupen",0,NA
"207",66700,"25_2025_05_04",2025-05-04,50425,32880,"RSV-A",0,74363,"Laupen",0,NA
"208",66700,"25_2025_05_04",2025-05-04,50425,32880,"RSV-B",0,74363,"Laupen",0,NA
"209",270101,"15_2024_11_08",2024-11-08,65174,32880,"RSV-A",0,262917,"Basel",0,NA
"210",270101,"15_2024_11_08",2024-11-08,65174,32880,"RSV-B",0,262917,"Basel",0,NA
"211",270101,"15_2024_11_10",2024-11-10,60910,32880,"RSV-A",0,262917,"Basel",0,NA
"212",270101,"15_2024_11_10",2024-11-10,60910,32880,"RSV-B",0,262917,"Basel",0,NA
"213",270101,"15_2024_11_17",2024-11-17,56710,32880,"RSV-A",0,262917,"Basel",0,NA
"214",270101,"15_2024_11_17",2024-11-17,56710,32880,"RSV-B",0,262917,"Basel",0,NA
"215",270101,"15_2024_11_18",2024-11-18,61704,32880,"RSV-A",0,262917,"Basel",0,0
"216",270101,"15_2024_11_18",2024-11-18,61704,32880,"RSV-B",0,262917,"Basel",0,0
