location	variant	date	proportion	proportionLower	proportionUpper
Lugano (TI)	undetermined	2025-03-07	0.0029376665312577715	1.1541749331068915e-19	0.00894091796871829
Lugano (TI)	undetermined	2025-03-15	0.003363215620968482	8.282011675840623e-19	0.016793209666043703
Lugano (TI)	undetermined	2025-03-23	0.0084377845943488	3.519880227345372e-17	0.026645382204891082
Lugano (TI)	undetermined	2025-03-26	0.014844359107824391	0.002169885485081593	0.034446692603592816
Lugano (TI)	undetermined	2025-03-28	0.019068612548333023	0.008411269080249242	0.042780662944353356
Lugano (TI)	undetermined	2025-04-03	0.040124010950484304	0.010388202538252487	0.16260168629876706
Lugano (TI)	undetermined	2025-04-05	0.06614477713301203	0.011296516019558209	0.33819068442873546
Lugano (TI)	undetermined	2025-04-07	0.09989362996923883	0.011386447765526607	0.45158244460487107
Lugano (TI)	undetermined	2025-04-15	0.8984747055411016	0.475829800963427	0.9977258576082717
Lugano (TI)	undetermined	2025-04-18	0.8462501194630637	0.4962816405613683	0.998836887346069
Zürich (ZH)	B.D.4.1.1	2024-12-03	0.0034964097439117866	3.5833903639009446e-05	0.007843257770494952
Zürich (ZH)	B.D.4.1.1	2024-12-07	0.0032789157093573874	0.00047946908081538276	0.007020874774764731
Zürich (ZH)	B.D.4.1.1	2024-12-08	0.0033134560243780193	0.000543895866527487	0.00710956453976883
Zürich (ZH)	B.D.4.1.1	2024-12-11	0.003814585112772894	0.0007349792544209015	0.007903339472920512
Zürich (ZH)	B.D.4.1.1	2024-12-13	0.004071583288478531	0.00046604527294310714	0.008135210050842633
Zürich (ZH)	B.D.4.1.1	2024-12-15	0.0036542879223336634	0.0007310657979145859	0.006632120837230927
Zürich (ZH)	B.D.4.1.1	2024-12-19	0.0012821911645464756	1.045638947573081e-08	0.002615098995686968
Zürich (ZH)	B.D.4.1.1	2024-12-21	0.0008020275672578385	3.865593256274139e-11	0.002491808095618745
Zürich (ZH)	B.D.4.1.1	2024-12-23	0.0005780641542292372	1.1787680091844006e-10	0.0024935902299256245
Zürich (ZH)	B.D.4.1.1	2024-12-27	0.000747886290185405	1.3723007137659832e-10	0.003251651273373693
Zürich (ZH)	B.D.4.1.1	2024-12-28	0.0008426690995261891	1.2021395074615673e-10	0.0031836250139730994
Zürich (ZH)	B.D.4.1.1	2025-01-01	0.0021208434349868142	2.3825134267770885e-09	0.005201877195879618
Zürich (ZH)	B.D.4.1.1	2025-01-03	0.0031965442030454745	4.274872573996859e-05	0.006952022218576667
Zürich (ZH)	B.D.4.1.1	2025-01-09	0.00566431872480959	0.0012201814701711252	0.009213826458773928
Zürich (ZH)	B.D.4.1.1	2025-01-11	0.005976864816409413	0.0015375360816476142	0.009849038516414223
Zürich (ZH)	B.D.4.1.1	2025-01-13	0.00618396887134385	0.0015755521189607547	0.010013652775789425
Zürich (ZH)	B.D.4.1.1	2025-01-19	0.004556040622632566	1.6858971116405002e-07	0.009535378226496796
Zürich (ZH)	B.D.4.1.1	2025-01-21	0.0033630954154381274	1.4857043061251376e-10	0.007743195616500481
Zürich (ZH)	B.D.4.1.1	2025-01-24	0.0018878117543633982	9.27535382654061e-13	0.00464098402865452
Zürich (ZH)	B.D.4.1.1	2025-01-29	0.0004023914010214531	4.4485898988974014e-13	0.0024891530186120243
Zürich (ZH)	B.D.4.1.1	2025-02-01	0.0002989684231870984	4.513724878994654e-14	0.002324298096384804
Zürich (ZH)	B.D.4.1.1	2025-02-06	0.00043401553616845734	8.367337593052133e-14	0.002483743199044577
Zürich (ZH)	B.D.4.1.1	2025-02-09	0.0006977837729225037	1.6671752267850149e-13	0.002454366065220911
Zürich (ZH)	B.D.4.1.1	2025-02-10	0.0008172509204060735	6.704179021406784e-14	0.002527294393034575
Zürich (ZH)	B.D.4.1.1	2025-02-14	0.0018271163064037892	2.818193463947645e-13	0.0055035799457867594
Zürich (ZH)	B.D.4.1.1	2025-02-18	0.003270019490282468	1.4537701259888128e-13	0.010552717877811512
Zürich (ZH)	B.D.4.1.1	2025-02-22	0.004462310510956701	2.583482160926075e-14	0.014452729189209163
Zürich (ZH)	B.D.4.1.1	2025-02-26	0.004246599302665294	3.4273977118361582e-15	0.01384139341240735
Zürich (ZH)	B.D.4.1.1	2025-03-02	0.0031177418810860195	5.107288488102566e-12	0.007011985570994943
Zürich (ZH)	B.D.4.1.1	2025-03-06	0.003808280176756288	0.0015786918950107525	0.006984234774301104
Zürich (ZH)	B.D.4.1.1	2025-03-07	0.003709680369779486	0.0013608991729059307	0.0066412132007581
Zürich (ZH)	B.D.4.1.1	2025-03-10	0.0028924238821488586	0.0008469096480241674	0.005361205884402743
Zürich (ZH)	B.D.4.1.1	2025-03-15	0.00041026935750895847	3.8045523812275144e-13	0.0024851272305155556
Zürich (ZH)	B.D.4.1.1	2025-03-18	0.0003405479752608291	2.0750444036285966e-14	0.002823926802245474
Zürich (ZH)	B.D.4.1.1	2025-03-23	0.0004661146505706516	1.9212356340584485e-17	0.004747698004901278
Zürich (ZH)	B.D.4.1.1	2025-03-26	0.0005289137136169171	1.1970959401443165e-16	0.005539755840198713
